 ,Agriculture ,Architecture,Arts ,Business & Commerce,Education,Engineering,Environmental Studies,Fine Arts,Household Science,Journalism,Landscape Architecture,Mathematics,Music,Nursing,Other Administration,Physical Education,Rehabilitation Medicine,Science,Social Work,Other,Overall
Brock University , , ,76.5,79.4,85.4, , ,78.3, , , , , ,80.7, ,80.2, ,79.5, , ,
Carleton University ,82.3,85.9, ,82.2, ,83.2, ,81, ,88.2, ,80.1, , , , , , , , ,
Lakehead University , , , , , , , , , , , , , , , , , , , , ,78
Laurentian University , , ,76.7,77.4,80.9,78.8, ,82.6, , , , ,82.4,76.9,79.7,78.6, ,80.5,77.2,80.5,79.4
McMaster University , , ,81.1,82.3, ,83.7, ,82.4, , , , , ,83.8, ,86, ,86.2, , ,
Nipissing University , , ,77.6,76.6,79.9, , , , , , , , ,77.6, , , ,75.9, , ,
OCAD University , , , , , , , ,77.4, , , , , , , , , , , , ,
Ontario Tech University , , ,74,74.6,78.8,76.4, , , , , , , ,76.4, , , ,75.5, , ,
Queen's University , , , ,89.7, ,86.3, ,86.2, , , , , ,82.5, ,86.4, , , , ,
Toronto Metropolitan University , ,81.2, ,78,78.1,78.4, ,82.8,80.9, , , , ,82.7, , , ,75.5,77.8,81.7,
Trent University , , ,76.5,74.6,85.2, , , , , , , , ,76.9, , , ,78.6, , ,78.9
University of Guelph ,78.3, ,81.1,79.8, ,80.8, , ,81.7, ,80.5, , , , , , ,81.8, ,82.9,81.2
University of Ottawa , , ,79,80.5, ,80.8, ,83.7, ,80.9, , , ,79.8, ,79.2,87.6,84.2, , ,
University of Toronto , , ,81,86.6, ,86.4, ,81.1, ,84.8, , ,85.7, ,76.5,82.3, ,85.3, , ,83.4
University of Waterloo , ,87.3,81.8, , ,87.7, , , , , ,87.3, , , , , ,83.3, , ,
University of Windsor , , ,77.6,76.7,82.8,80,75.3,79.9, , , ,82.5,80.4,79.5, ,80.2, ,82,77.6,87,79.9
Western - Brescia University College, , , ,84.4, , , , , , , , , , , , , , , , ,
Western - Huron University College , , , , , , , , , , , , , , , , , , , , ,82.9
Western - Main Campus , , ,84.7,84.7, ,84.8, , , , , , ,85.1,84.2, ,83.5, ,87.3, ,85.1,85.1
Wilfrid Laurier University , , ,79.3,84.6, , , , , , , , ,83.8, , ,83.7, ,78.7, , ,
York University , , ,82.5,85.7, ,84.6, ,84.3, , , , , , , , , , , , ,83.5
