 ,Agriculture ,Architecture & Planning,Biological & Biomedical Sciences,Commerce/Mgmt/Business Admin,Communication & Journalism,Computer & Information Science,Education ,Engineering ,Family & Consumer/Human Sciences,Fine & Applied Arts,General Science,Health Profess & Related Programs,Kinesiology/Recreation/Physical Education,Languages & Linguistics,Liberal Arts & Sciences/General Studies/Humanities,Mathematics & Statistics,Music ,Natural Resources & Conservation,Nursing ,Physical Science,Psychology ,Social Sciences,Other ,Diplomas ,Not applicable,Overall
Queen's University , , ,92.1,94, ,92.9,93.4,93.5, ,91,89.6,96.3,91.2, ,89.8, ,91.4, ,93.3, ,87.6, ,,, ,92
University of Toronto , ,92.4,91.7,93,86.3,96.7,,96.5, ,88.3, ,89.1,88,89.6,88.4,93.5,91.9, ,,91.3,87.8,88.9,,, ,91.1
Wilfrid Laurier University , , ,84,92.6,81.9,84.2,77.3,, ,89,76.6,89.1, ,83.5,83.3,82.7,90.8,80.9,,83.7,,83.5,,, ,86.3
Western - Main Campus , , ,94.7,92.4,88.8, ,,91.8,90.2,88.4,90.4,94,90, ,89.1, ,89.8, ,92.6, ,,90.5,,, ,91.8
McMaster University , , ,94.8,91.3, ,97,,93.4, ,89.6,91.6,95.6, , ,89.4,91.1,, ,,93,,89,,, ,92.6
University of Waterloo , ,90.9,89.9,90.4,89.7,97.8,,95.2, , ,90.2,92.1,87.7, ,88.4,95.3,, ,,89.5,,88.4,,, ,92.2
Western - Huron University College, , , ,88.6, , ,,, , , , , , ,89.8, ,, ,, ,,88.3,,, ,88.5
Toronto Metropolitan University , ,88.1,89.3,87.2,89.5,93.8,84.6,90.3,86.1,90.2,83.4,83.2, ,84.5,85,86.1,,83.8,93.5,84.3,91,85.9,,, ,88.3
York University , ,82.1,85.2,86.8,83.7,86.2,87.5,87.4, ,87.2,90.3,86, ,86.7,83.5,85.1,,81.4,,83.5,,83.3,,, ,85.4
University of Windsor , , ,89.7,86, ,85.4,86.5,87.4, ,87.6,82.6,89.4,85,88.3,84,89,, ,,86.7,85.6,85.3,,, ,86.7
University of Guelph ,85.4, ,93,86,85.5,91.7,,90,88, ,88.5, ,86, ,87.4, ,,87.6,, ,83.3,83,,, ,87.8
University of Ottawa , , ,89,85.9,84.3,91.3,,88.8, ,87.6, ,87.8,84.5,86.5,85.4,89.2,89.9,86.3,88.2,86.4,85.3,85.8,,, ,87.1
Carleton University , ,89,83,85.3,86,88.5,,87, ,89.3,85.4,89.4, , ,84.1,85.9,, ,,80.4,,86.9,,, ,86.2
Brock University ,88, ,83.6,84.5,85.6,86.8,89.6,, ,86.1,78.5,86.4,83.6,87.5,83.1,90.9,, ,89.3,83.6,,83.4,,, ,85.7
Lakehead University , , ,88.6,84.4, ,83.4,85.2,84, ,90,75.5,84.9,85,84.6,84.5,98,, ,,83.7,86,81.1,,, ,84.8
Nipissing University , , , ,82.7, , ,86.6,, ,89.3,86, ,83, ,82.9, ,, ,91.7, ,,82.6,,, ,85.4
Laurentian University , ,86.5,84.1,82.7, ,81.2,85.1,84.1, , ,84.9, ,85.5,88.2,84, ,, ,84.3,88.9,83,82.1,,, ,84
Ontario Tech University , , ,86,81.3,80.3,85.2,,84.9, , ,85.1,86.7,82.9, ,79,90.3,, ,,87.1,83.7,81.6,,, ,84.5
Trent University ,87.7, ,83.9,80.6,82.1,80.8,86.9,88.2, , ,88.7,86.8,85.6,84.6,83.8,87.8,,81.4,,82.4,,83.7,,, ,84.2
"Ottawa - Saint-Paul, Universit? ", , , , , , ,,, , , , , , ,94, ,, ,, ,,77,,, ,81.3
OCAD University , , , , , , ,,, ,86.2, , , , , , ,, ,, ,, ,,, ,86.2
